Date;Side;Win/Lose;Player;Lane;Hero;Ban Hero;Spell;Team;Opponent;Game 1 - 3;Kill;Death;Assist;Duration;Map;Bracket
15/07/2026;Blue;Win;Mikuu;Midlane;Zhuxin;Baxia;Flicker;Team Rey Young;SAETA;2 - 0;5;1;7;20:28;Dangerous Grass;UB Semifinals
15/07/2026;Blue;Win;Qu1nn;Goldlane;Karrie;Benedetta;Flicker;Team Rey Young;SAETA;2 - 0;2;4;7;20:28;Dangerous Grass;UB Semifinals
15/07/2026;Blue;Win;Qiiboyyy;Roam;Hilda;Alice;Flicker;Team Rey Young;SAETA;2 - 0;5;1;7;20:28;Dangerous Grass;UB Semifinals
15/07/2026;Blue;Win;Lyubon;Explane;Esmeralda;Mathilda;Flicker;Geltek Cyber Team;Twisted Minds VN;1 - 0;4;4;12;24:40;Dangerous Grass;UB Semifinals
15/07/2026;Blue;Win;Kioway;Jungler;Aulus;Zhuxin;Retribution;Geltek Cyber Team;Twisted Minds VN;1 - 0;11;3;8;24:40;Dangerous Grass;UB Semifinals
15/07/2026;Blue;Win;Sonjjqkke;Midlane;Gord;Freya;Flicker;Geltek Cyber Team;Twisted Minds VN;1 - 0;2;2;12;24:40;Dangerous Grass;UB Semifinals
15/07/2026;Blue;Win;Tokio;Goldlane;Hanabi;Arlott;Aegis;Geltek Cyber Team;Twisted Minds VN;1 - 0;5;3;11;24:40;Dangerous Grass;UB Semifinals
15/07/2026;Blue;Win;KUWEJO;Roam;Belerick;Yu Zhong;Revitalize;Geltek Cyber Team;Twisted Minds VN;1 - 0;1;5;16;24:40;Dangerous Grass;UB Semifinals
15/07/2026;Red;Lose;Daisy;Explane;Benedetta;Marcel;Petrify;Twisted Minds VN;Geltek Cyber Team;0 - 1;6;8;4;24:40;Dangerous Grass;UB Semifinals
15/07/2026;Red;Lose;Meylane;Jungler;Baxia;Hirara;Retribution;Twisted Minds VN;Geltek Cyber Team;0 - 1;2;7;9;24:40;Dangerous Grass;UB Semifinals
15/07/2026;Red;Lose;Saa;Midlane;Lylia;Atlas;Purify;Twisted Minds VN;Geltek Cyber Team;0 - 1;2;3;11;24:40;Dangerous Grass;UB Semifinals
15/07/2026;Red;Lose;Chincaaw;Goldlane;Karrie;Claude;Purify;Twisted Minds VN;Geltek Cyber Team;0 - 1;5;1;6;24:40;Dangerous Grass;UB Semifinals
15/07/2026;Red;Lose;Kao;Roam;Gloo;Guinevere;Flicker;Twisted Minds VN;Geltek Cyber Team;0 - 1;2;4;11;24:40;Dangerous Grass;UB Semifinals
15/07/2026;Red;Win;Lyubon;Explane;Paquito;Mathilda;Flicker;Geltek Cyber Team;Twisted Minds VN;2 - 0;4;4;5;15:43;Flying Clouds;UB Semifinals
15/07/2026;Red;Win;Kioway;Jungler;Harley;Zhuxin;Retribution;Geltek Cyber Team;Twisted Minds VN;2 - 0;2;2;7;15:43;Flying Clouds;UB Semifinals
15/07/2026;Red;Win;Sonjjqkke;Midlane;Luo Yi;Karrie;Flicker;Geltek Cyber Team;Twisted Minds VN;2 - 0;1;0;12;15:43;Flying Clouds;UB Semifinals
15/07/2026;Red;Win;Tokio;Goldlane;Clint;Esmeralda;Flicker;Geltek Cyber Team;Twisted Minds VN;2 - 0;5;1;8;15:43;Flying Clouds;UB Semifinals
15/07/2026;Red;Win;KUWEJO;Roam;Marcel;Phoveus;Flicker;Geltek Cyber Team;Twisted Minds VN;2 - 0;3;2;10;15:43;Flying Clouds;UB Semifinals
15/07/2026;Blue;Lose;Daisy;Explane;Freya;Belerick;Vengeance;Twisted Minds VN;Geltek Cyber Team;0 - 2;1;2;6;15:43;Flying Clouds;UB Semifinals
